Member_Account_No,Date,NĂM,THÁNG,Net Units Sold,GIÁ TRỊ,Category Group,Brand,Store_No,Channel
PDM0007579,1/1/2024,2024,1,2,2480556,,Guy Laroche,PDM001,Offline
PDM0000599,1/1/2024,2024,1,1,1157407,,Elle,PDM008,Offline
PDM0016399,1/1/2024,2024,1,1,1805556,,Guy Laroche,PDM008,Offline
,1/1/2024,2024,1,1,2675926,,Guy Laroche,PDM002,Offline
PDM0012567,1/1/2024,2024,1,1,1055556,,Elle,PDM002,Offline
PDM0012567,1/1/2024,2024,1,1,2366204,,Guy Laroche,PDM002,Offline
PDM0012567,1/1/2024,2024,1,2,2199073,,Elle,PDM002,Offline
PDM0016404,1/1/2024,2024,1,1,325463,,Elle,PDM003,Offline
PDM0016404,1/1/2024,2024,1,1,1750463,,AnneBra,PDM003,Offline
PDM0016403,1/1/2024,2024,1,1,1891204,,Miraclesuit,PDM003,Offline
PDM0016402,1/1/2024,2024,1,1,1891204,,Miraclesuit,PDM003,Offline
PDM0016401,1/1/2024,2024,1,1,1108333,,Elle,PDM002,Offline
PDM0016401,1/1/2024,2024,1,1,1108334,,Elle,PDM002,Offline
PDM0009730,1/1/2024,2024,1,1,983796,,Guy Laroche,PDM003,Offline
PDM0009730,1/1/2024,2024,1,1,362037,,Guy Laroche,PDM003,Offline
PDM0009730,1/1/2024,2024,1,1,983796,,Guy Laroche,PDM003,Offline
PDM0009730,1/1/2024,2024,1,1,362038,,Guy Laroche,PDM003,Offline
PDM0014878,1/1/2024,2024,1,1,343056,,Elle,PDM003,Offline
PDM0014878,1/1/2024,2024,1,1,343056,,Elle,PDM003,Offline
PDM0014878,1/1/2024,2024,1,1,343056,,Elle,PDM003,Offline
PDM0014878,1/1/2024,2024,1,1,395833,,Guy Laroche,PDM003,Offline
PDM0014878,1/1/2024,2024,1,1,343055,,Elle,PDM003,Offline
PDM0014878,1/1/2024,2024,1,1,343055,,Elle,PDM003,Offline
PDM0016398,1/1/2024,2024,1,1,1073148,,Elle,PDM003,Offline
,1/1/2024,2024,1,1,1805556,,Guy Laroche,PDM003,Offline
PDM0016398,1/1/2024,2024,1,1,1073148,,Elle,PDM003,Offline
PDM0016398,1/1/2024,2024,1,1,1293056,,Elle,PDM003,Offline
PDM0016406,1/1/2024,2024,1,1,360648,,Elle,PDM001,Offline
PDM0016400,1/1/2024,2024,1,1,1310648,,Miraclesuit,PDM001,Offline
PDM0016400,1/1/2024,2024,1,1,1134722,,Miraclesuit,PDM001,Offline
,1/1/2024,2024,1,1,416667,,AnneBra,PDM001,Offline
,1/1/2024,2024,1,1,1194444,,AnneBra,PDM001,Offline
PDM0016392,1/1/2024,2024,1,1,2241667,,Guy Laroche,PDM001,Offline
PDM0016392,1/1/2024,2024,1,1,950000,,Guy Laroche,PDM001,Offline
PDM0016392,1/1/2024,2024,1,1,375000,,Guy Laroche,PDM001,Offline
PDM0016406,1/1/2024,2024,1,1,2366204,,Guy Laroche,PDM001,Offline
PDM0016392,1/1/2024,2024,1,1,375000,,Guy Laroche,PDM001,Offline
PDM0003027,1/1/2024,2024,1,1,1002778,,Guy Laroche,PDM001,Offline
PDM0003027,1/1/2024,2024,1,1,1099537,,Guy Laroche,PDM001,Offline
PDM0003027,1/1/2024,2024,1,1,404630,,Guy Laroche,PDM001,Offline
PDM0003027,1/1/2024,2024,1,1,395833,,Guy Laroche,PDM001,Offline
PDM0009103,1/1/2024,2024,1,1,325463,,Elle,PDM001,Offline
PDM0009103,1/1/2024,2024,1,1,985185,,Elle,PDM001,Offline
PDM0009103,1/1/2024,2024,1,1,325463,,Elle,PDM001,Offline
PDM0016392,1/1/2024,2024,1,1,375000,,Guy Laroche,PDM001,Offline
,1/1/2024,2024,1,1,1037037,,Elle,PDM001,Offline
PDM0014163,1/2/2024,2024,1,1,1111111,,Elle,PDM004,Offline
PDM0016411,1/2/2024,2024,1,1,990741,,Elle,PDM006,Online
PDM0016407,1/2/2024,2024,1,1,1187500,,AnneBra,PDM004,Offline
PDM0016407,1/2/2024,2024,1,1,1108333,,Elle,PDM004,Offline
PDM0016407,1/2/2024,2024,1,1,343056,,Elle,PDM004,Offline
PDM0016407,1/2/2024,2024,1,1,985185,,Elle,PDM004,Offline
PDM0016411,1/2/2024,2024,1,1,990741,,Elle,PDM006,Online
PDM0008197,1/2/2024,2024,1,1,1129630,,Elle,PDM004,Offline
PDM0005943,1/2/2024,2024,1,1,1000000,,Elle,PDM004,Offline
PDM0005943,1/2/2024,2024,1,1,1000000,,Elle,PDM004,Offline
PDM0005943,1/2/2024,2024,1,1,1075000,,Guy Laroche,PDM004,Offline
PDM0005943,1/2/2024,2024,1,1,1000000,,Elle,PDM004,Offline
PDM0016412,1/2/2024,2024,1,1,1518518,,Naomi&Nicole,PDM006,Online
PDM0016413,1/2/2024,2024,1,1,1108334,,Elle,PDM006,Online
PDM0016413,1/2/2024,2024,1,1,1108333,,Elle,PDM006,Online
PDM0016411,1/2/2024,2024,1,-1,-990741,,Elle,PDM006,Online
PDM0016409,1/2/2024,2024,1,1,2366204,,Guy Laroche,PDM002,Offline
PDM0006355,1/2/2024,2024,1,1,1073148,,Elle,PDM006,Online
PDM0016407,1/2/2024,2024,1,1,431019,,AnneBra,PDM004,Offline
,1/2/2024,2024,1,1,1037037,,Elle,PDM007,Online
PDM0016410,1/2/2024,2024,1,2,2111111,,Elle,PDM001,Offline
PDM0016410,1/2/2024,2024,1,2,2269444,,Guy Laroche,PDM001,Offline
PDM0016410,1/2/2024,2024,1,1,1134723,,Guy Laroche,PDM001,Offline
PDM0002478,1/2/2024,2024,1,1,1099537,,Elle,PDM001,Offline
PDM0002478,1/2/2024,2024,1,1,1099537,,Elle,PDM001,Offline
PDM0016408,1/2/2024,2024,1,1,395833,,Guy Laroche,PDM001,Offline
PDM0016410,1/2/2024,2024,1,1,1134722,,Guy Laroche,PDM001,Offline
PDM0016408,1/2/2024,2024,1,1,1381019,,Guy Laroche,PDM001,Offline
PDM0016417,1/3/2024,2024,1,1,0,,Elle,PDM003,Offline
PDM0016417,1/3/2024,2024,1,1,874352,,Elle,PDM003,Offline
PDM0016417,1/3/2024,2024,1,1,428861,,Elle,PDM003,Offline
PDM0016417,1/3/2024,2024,1,1,1094034,,Elle,PDM003,Offline
PDM0016417,1/3/2024,2024,1,1,1094034,,Elle,PDM003,Offline
PDM0000795,1/3/2024,2024,1,1,2117130,,Guy Laroche,PDM001,Offline
PDM0016417,1/3/2024,2024,1,1,1304089,,Miraclesuit,PDM003,Offline
PDM0000795,1/3/2024,2024,1,-1,-900925,,Elle,PDM001,Offline
PDM0000795,1/3/2024,2024,1,1,2117130,,Guy Laroche,PDM001,Offline
,1/3/2024,2024,1,1,0,,Elle,PDM007,Online
PDM0010919,1/3/2024,2024,1,1,0,,Elle,PDM003,Offline
PDM0015561,1/3/2024,2024,1,1,1175000,,Elle,PDM006,Online
PDM0015561,1/3/2024,2024,1,1,1225000,,Elle,PDM006,Online
PDM0012347,1/3/2024,2024,1,1,318934,,Elle,PDM006,Online
PDM0012347,1/3/2024,2024,1,1,980140,,Elle,PDM006,Online
PDM0016416,1/3/2024,2024,1,1,1037037,,Elle,PDM006,Online
PDM0012682,1/3/2024,2024,1,1,897774,,Elle,PDM006,Online
PDM0012682,1/3/2024,2024,1,2,1766115,,Elle,PDM006,Online
PDM0000795,1/3/2024,2024,1,1,900925,,Elle,PDM001,Offline
PDM0010919,1/3/2024,2024,1,1,2017867,,Guy Laroche,PDM003,Offline
PDM0000795,1/3/2024,2024,1,-1,-2117130,,Guy Laroche,PDM001,Offline
PDM0010919,1/3/2024,2024,1,1,1515302,,AnneBra,PDM003,Offline
,1/3/2024,2024,1,1,923501,,Elle,PDM007,Online
,1/3/2024,2024,1,1,1012610,,Elle,PDM007,Online
,1/3/2024,2024,1,1,933333,,Elle,PDM007,Online
